!MOLECULE
o-NH3
!MOLECULAR WEIGHT
17.
!NUMBER OF ENERGY LEVELS
172
! LEVEL + ENERGY(CM-1) + WEIGHT + QUANTUM NOS.  J,K,inv-sym,v1,v2,v3,v4
114  1928.5289  116 14 6 0 0 0 0 0
115  1928.8214  116 14 6 1 0 0 0 0
116  1935.3964  92 11 9 0 0 1 0 0
117  1967.828875  92 11 9 1 0 1 0 0
118  1969.846228  100 12 12 1 0 1 0 0
119  1993.415812  84 10 3 0 0 1 0 0
120  2015.163794  84 10 3 1 0 1 0 0
121  2021.818  116 14 3 0 0 0 0 0
122  2022.1406  116 14 3 1 0 0 0 0
123  2047.556724  84 10 0 1 0 1 0 0
124  2052.9508  116 14 0 1 0 0 0 0
125  2061.646  124 15 9 0 0 0 0 0
126  2062.004732506873  124 15 9 1 0 0 0 0
127  2108.503658  92 11 6 0 0 1 0 0
128  2132.08324  92 11 6 1 0 1 0 0
129  2174.014684  100 12 9 0 0 1 0 0
130  2186.388937  108 13 12 0 0 1 0 0
131  2202.756968  100 12 9 1 0 1 0 0
132  2209.854552  92 11 3 0 0 1 0 0
133  2217.8636  124 15 6 0 0 0 0 0
134  2218.106630269961  124 15 6 1 0 0 0 0
135  2225.468511  108 13 12 1 0 1 0 0
136  2229.217195  92 11 3 1 0 1 0 0
137  2243.248288  92 11 0 0 0 1 0 0
138  2310.2336  124 15 3 0 0 0 0 0
139  2310.291852065834  124 15 3 1 0 0 0 0
140  2340.704887225904  124 15 0 0 0 0 0 0
141  2344.818989  100 12 6 0 0 1 0 0
142  2365.672058  100 12 6 1 0 1 0 0
143  2431.149794  108 13 9 0 0 1 0 0
144  2442.3434  124 15 15 0 0 1 0 0
145  2444.879861  100 12 3 0 0 1 0 0
146  2456.348814  108 13 9 1 0 1 0 0
147  2462.071234  100 12 3 1 0 1 0 0
148  2465.672499  116 14 12 0 0 1 0 0
149  2493.05465  124 15 15 1 0 1 0 0
150  2493.939449  100 12 0 1 0 1 0 0
151  2499.692509  116 14 12 1 0 1 0 0
152  2599.57511  108 13 6 0 0 1 0 0
153  2617.81889  108 13 6 1 0 1 0 0
154  2698.372914  108 13 3 0 0 1 0 0
155  2706.533799  116 14 9 0 0 1 0 0
156  2713.267664  108 13 3 1 0 1 0 0
157  2728.387005  116 14 9 1 0 1 0 0
158  2730.935405  108 13 0 0 0 1 0 0
159  2762.989005  124 15 12 0 0 1 0 0
160  2792.279101  124 15 12 1 0 1 0 0
161  2872.523967  116 14 6 0 0 1 0 0
162  2888.311753  116 14 6 1 0 1 0 0
163  2969.91407  116 14 3 0 0 1 0 0
164  2982.975238  116 14 3 1 0 1 0 0
165  2999.897164  124 15 9 0 0 1 0 0
166  3014.223772  116 14 0 1 0 1 0 0
167  3018.641208  124 15 9 1 0 1 0 0
168  3163.413817  124 15 6 0 0 1 0 0
169  3176.92654  124 15 6 1 0 1 0 0
170  3259.540481  124 15 3 0 0 1 0 0
171  3270.443244  124 15 3 1 0 1 0 0
172  3291.20634  124 15 0 0 0 1 0 0
!NUMBER OF RADIATIVE TRANSITIONS
